x, y
-0.0826805918189728, -0.9860748476936471
-0.15578764142732826, -0.9721496953872937
-0.20452567449956494, -0.9599651871192345
-0.24804177545691908, -0.9321148825065275
-0.22367275892080074, -0.906005221932115
-0.17145343777197564, -0.8642297650130549
-0.1279373368146215, -0.7980852915578766
-0.08616187989556112, -0.730200174064404
-0.05134899912967805, -0.6640557006092257
-0.03568320278503068, -0.5961705831157531
-0.020017406440382857, -0.39773716275021787
-0.00957354221061768, -0.1975630983463884
-0.0026109660574413773, 0.004351610095735259
