x, y
0.0079155672823219, -0.984251968503937
0.03693931398416872, -0.973753280839895
0.11345646437994716, -0.958005249343832
0.32981530343007903, -0.931758530183727
0.7915567282321898, -0.905511811023622
0.5883905013192612, -0.8661417322834646
0.33773087071240093, -0.7979002624671916
0.04221635883905006, -0.7296587926509186
-0.23218997361477578, -0.6614173228346456
-0.24274406332453824, -0.5984251968503937
0.005277044854881341, -0.3989501312335958
0.013192612137203241, -0.19685039370078738
0.0554089709762533, 0
0.05013192612137196, 0.19947506561679784
0.03430079155672816, 0.40157480314960625
0.013192612137203241, 0.6010498687664041
0.02638522427440626, 0.6666666666666667
0.01846965699208436, 0.7349081364829395
0.0026385224274405594, 0.7979002624671916
0, 0.8661417322834646
-0.01846965699208447, 0.905511811023622
-0.029023746701847042, 0.931758530183727
-0.013192612137203241, 0.958005249343832
-0.005277044854881341, 0.9763779527559056
0.10817941952506582, 0.9868766404199474
