x, y
-0.9982593559617058, 0
-0.9843342036553524, -0.0034662045060658286
-0.9669277632724107, -0.0034662045060658286
-0.9425587467362925, 0.005199306759098743
-0.9147084421235858, 0.006932409012131657
-0.8746736292428199, 0
-0.8085291557876414, 0.024263431542461023
-0.7423846823324629, 0.0034662045060658286
-0.6744995648389904, 0.017331022530329365
-0.6083550913838119, -0.008665511265164572
-0.4099216710182767, 0.0034662045060658286
-0.20974760661444714, -0.005199306759098743
-0.011314186248911895, 0.029462738301559765
0.19060052219321166, 0.008665511265164794
0.39425587467362955, 0.0034662045060658286
0.594429939077459, 0.008665511265164794
0.6605744125326376, 0.013864818024263537
0.7267188859878158, 0.008665511265164794
0.7946040034812882, 0.015597920277296451
0.8590078328981727, 0.07105719237435015
0.8990426457789384, 0.1854419410745234
0.9251523063533511, 0.17677642980935881
0.951261966927764, 0.03119584055459268
0.9617058311575288, 0.017331022530329365
0.9756309834638819, 0.005199306759098743
