x, y
-0.9877085162423178, 0.13910761154855633
-0.977172958735733, 0.22484689413823267
-0.9631255487269533, 0.2913385826771653
-0.9350307287093942, 0.3088363954505684
-0.9086918349429324, 0.1618547681539806
-0.8700614574187884, 0.21434820647419062
-0.8033362598770851, 0.2283464566929132
-0.7366110623353819, 0.2090988626421697
-0.6698858647936787, 0.24584426946631655
-0.6031606672519753, 0.25284339457567784
-0.40474100087796305, 0.11111111111111094
-0.20456540825285363, 0.15835520559930005
-0.004389815627743987, 0.14960629921259838
