x, y
-0.9912967798085294, 0.05657093124456014
-0.9756309834638819, 0.07571801566579617
-0.9617058311575285, 0.09486510008703197
-0.935596170583116, 0.11227154046997367
-0.9112271540469976, 0.10530896431679704
-0.8711923411662317, 0.08790252393385556
-0.803307223672759, 0.07049608355091364
-0.7371627502175807, 0.063533507397737
-0.6710182767624022, 0.06005221932114857
-0.6048738033072238, 0.053089643167971934
-0.40469973890339417, 0.05134899912967783
-0.20452567449956494, 0.0478677110530894
-0.004351610095735481, 0.0322019147084418
